id,name,works_count
2208,Electrical and Electronic Engineering,2417
2505,Materials Chemistry,1949
1702,Artificial Intelligence,1837
1312,Molecular Biology,1476
2210,Mechanical Engineering,1458
2204,Biomedical Engineering,1448
2739,"Public Health, Environmental and Occupational Health",1256
1710,Information Systems,1133
1110,Plant Science,1070
3312,Sociology and Political Science,1036
