id,name,works_count
1110,Plant Science,5577
1312,Molecular Biology,4551
2739,"Public Health, Environmental and Occupational Health",4547
2725,Infectious Diseases,4061
2713,Epidemiology,3823
1105,"Ecology, Evolution, Behavior and Systematics",3798
3312,Sociology and Political Science,3305
2002,Economics and Econometrics,3100
3600,General Health Professions,2613
2735,"Pediatrics, Perinatology and Child Health",2305
