id,name,works_count
3320,Political Science and International Relations,914
3312,Sociology and Political Science,821
3304,Education,540
2739,"Public Health, Environmental and Occupational Health",524
2002,Economics and Econometrics,502
3600,General Health Professions,460
2725,Infectious Diseases,451
2713,Epidemiology,447
1110,Plant Science,444
2746,Surgery,422
