year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,2017,IL,2025-12-03 12:06:19
2005,2208,Electrical and Electronic Engineering,1374,IL,2025-12-03 12:06:19
2005,3107,"Atomic and Molecular Physics, and Optics",1223,IL,2025-12-03 12:06:19
2005,2746,Surgery,975,IL,2025-12-03 12:06:19
2005,1702,Artificial Intelligence,947,IL,2025-12-03 12:06:19
2005,2505,Materials Chemistry,752,IL,2025-12-03 12:06:19
2005,2204,Biomedical Engineering,710,IL,2025-12-03 12:06:19
2005,3312,Sociology and Political Science,685,IL,2025-12-03 12:06:19
2005,2713,Epidemiology,651,IL,2025-12-03 12:06:19
2005,1311,Genetics,611,IL,2025-12-03 12:06:19
2005,1705,Computer Networks and Communications,386,IL,2025-12-03 12:06:19
2005,1703,Computational Theory and Mathematics,318,IL,2025-12-03 12:06:19
2005,2740,Pulmonary and Respiratory Medicine,296,IL,2025-12-03 12:06:19
2005,2730,Oncology,255,IL,2025-12-03 12:06:19
2005,2705,Cardiology and Cardiovascular Medicine,232,IL,2025-12-03 12:06:19
2005,3109,Statistical and Nonlinear Physics,220,IL,2025-12-03 12:06:19
2005,2804,Cellular and Molecular Neuroscience,199,IL,2025-12-03 12:06:19
2005,1110,Plant Science,193,IL,2025-12-03 12:06:19
2005,1307,Cell Biology,190,IL,2025-12-03 12:06:19
2005,1605,Organic Chemistry,180,IL,2025-12-03 12:06:19
2005,2741,"Radiology, Nuclear Medicine and Imaging",174,IL,2025-12-03 12:06:19
2005,2211,Mechanics of Materials,170,IL,2025-12-03 12:06:19
2005,2737,Physiology,168,IL,2025-12-03 12:06:19
2005,3104,Condensed Matter Physics,168,IL,2025-12-03 12:06:19
2005,2403,Immunology,161,IL,2025-12-03 12:06:19
2005,2739,"Public Health, Environmental and Occupational Health",160,IL,2025-12-03 12:06:19
2005,2504,"Electronic, Optical and Magnetic Materials",141,IL,2025-12-03 12:06:19
2005,1607,Spectroscopy,140,IL,2025-12-03 12:06:19
2005,1707,Computer Vision and Pattern Recognition,135,IL,2025-12-03 12:06:19
2005,2712,"Endocrinology, Diabetes and Metabolism",133,IL,2025-12-03 12:06:19
2005,2734,Pathology and Forensic Medicine,130,IL,2025-12-03 12:06:19
2005,2745,Rheumatology,129,IL,2025-12-03 12:06:19
2005,2210,Mechanical Engineering,121,IL,2025-12-03 12:06:19
2005,2202,Aerospace Engineering,115,IL,2025-12-03 12:06:19
2005,2735,"Pediatrics, Perinatology and Child Health",115,IL,2025-12-03 12:06:19
2005,2206,Computational Mechanics,113,IL,2025-12-03 12:06:19
2005,2725,Infectious Diseases,103,IL,2025-12-03 12:06:19
2005,1711,Signal Processing,102,IL,2025-12-03 12:06:19
2005,3320,Political Science and International Relations,98,IL,2025-12-03 12:06:19
2005,1306,Cancer Research,97,IL,2025-12-03 12:06:19
2005,2207,Control and Systems Engineering,97,IL,2025-12-03 12:06:19
2005,1606,Physical and Theoretical Chemistry,94,IL,2025-12-03 12:06:19
2005,3207,Social Psychology,93,IL,2025-12-03 12:06:19
2005,1710,Information Systems,92,IL,2025-12-03 12:06:19
2005,2805,Cognitive Neuroscience,90,IL,2025-12-03 12:06:19
2005,2736,Pharmacology,86,IL,2025-12-03 12:06:19
2005,3103,Astronomy and Astrophysics,83,IL,2025-12-03 12:06:19
2005,2303,Ecology,80,IL,2025-12-03 12:06:19
2005,2720,Hematology,76,IL,2025-12-03 12:06:19
2005,2728,Neurology,76,IL,2025-12-03 12:06:19
2005,2916,Nutrition and Dietetics,76,IL,2025-12-03 12:06:19
2005,1105,"Ecology, Evolution, Behavior and Systematics",73,IL,2025-12-03 12:06:19
2005,1304,Biophysics,67,IL,2025-12-03 12:06:19
2005,3106,Nuclear and High Energy Physics,67,IL,2025-12-03 12:06:19
2005,1604,Inorganic Chemistry,66,IL,2025-12-03 12:06:19
2005,2502,Biomaterials,66,IL,2025-12-03 12:06:19
2005,2711,Emergency Medicine,66,IL,2025-12-03 12:06:19
2005,2508,"Surfaces, Coatings and Films",64,IL,2025-12-03 12:06:19
2005,3600,General Health Professions,63,IL,2025-12-03 12:06:19
2005,2507,Polymers and Plastics,61,IL,2025-12-03 12:06:19
2005,3317,Demography,61,IL,2025-12-03 12:06:19
2005,2721,Hepatology,60,IL,2025-12-03 12:06:19
2005,2743,Reproductive Medicine,59,IL,2025-12-03 12:06:19
2005,2731,Ophthalmology,58,IL,2025-12-03 12:06:19
2005,2002,Economics and Econometrics,57,IL,2025-12-03 12:06:19
2005,2732,Orthopedics and Sports Medicine,57,IL,2025-12-03 12:06:19
2005,2748,Urology,57,IL,2025-12-03 12:06:19
2005,2716,Genetics,56,IL,2025-12-03 12:06:19
2005,1708,Hardware and Architecture,54,IL,2025-12-03 12:06:19
2005,2105,"Renewable Energy, Sustainability and the Environment",53,IL,2025-12-03 12:06:19
2005,1305,Biotechnology,49,IL,2025-12-03 12:06:19
2005,3203,Clinical Psychology,49,IL,2025-12-03 12:06:19
2005,2738,Psychiatry and Mental health,46,IL,2025-12-03 12:06:19
2005,1803,Management Science and Operations Research,45,IL,2025-12-03 12:06:19
2005,2205,Civil and Structural Engineering,44,IL,2025-12-03 12:06:19
2005,2715,Gastroenterology,44,IL,2025-12-03 12:06:19
2005,3108,Radiation,44,IL,2025-12-03 12:06:19
2005,1712,Software,43,IL,2025-12-03 12:06:19
2005,1109,Insect Science,41,IL,2025-12-03 12:06:19
2005,3304,Education,41,IL,2025-12-03 12:06:19
2005,1902,Atmospheric Science,40,IL,2025-12-03 12:06:19
