id,name,works_count
2208,Electrical and Electronic Engineering,16160
2746,Surgery,15292
1110,Plant Science,15121
1312,Molecular Biology,14167
1702,Artificial Intelligence,11435
2505,Materials Chemistry,10722
2713,Epidemiology,8899
2740,Pulmonary and Respiratory Medicine,8742
1705,Computer Networks and Communications,7904
2204,Biomedical Engineering,7754
