id,name,topics_count
15,Chemical Engineering,13
16,Chemistry,101
17,Computer Science,302
19,Earth and Planetary Sciences,57
21,Energy,27
22,Engineering,560
23,Environmental Science,202
25,Materials Science,123
26,Mathematics,82
31,Physics and Astronomy,104
