id,name,us_works_count
2208,Electrical and Electronic Engineering,1628537
2204,Biomedical Engineering,1317319
2505,Materials Chemistry,1101267
3107,"Atomic and Molecular Physics, and Optics",998696
1702,Artificial Intelligence,953179
3103,Astronomy and Astrophysics,783482
1312,Molecular Biology,751590
2210,Mechanical Engineering,729779
2303,Ecology,704727
2202,Aerospace Engineering,691191
