id,name,field,subfield,us_works_count,fetch_date
T11367,Particle accelerators and beam dynamics,Unknown,Unknown,61505,2025-11-15 21:06:18
T10597,Nuclear reactor physics and engineering,Unknown,Unknown,50948,2025-11-15 21:06:18
T13200,Spacecraft and Cryogenic Technologies,Unknown,Unknown,45209,2025-11-15 21:06:18
T12449,Spacecraft Design and Technology,Unknown,Unknown,37654,2025-11-15 21:06:18
T12513,Rocket and propulsion systems research,Unknown,Unknown,36913,2025-11-15 21:06:18
T10360,Fluid Dynamics and Turbulent Flows,Unknown,Unknown,36433,2025-11-15 21:06:18
T10069,Antenna Design and Analysis,Unknown,Unknown,34932,2025-11-15 21:06:18
T10173,Computational Fluid Dynamics and Aerodynamics,Unknown,Unknown,34548,2025-11-15 21:06:18
T11008,Aerodynamics and Acoustics in Jet Flows,Unknown,Unknown,33094,2025-11-15 21:06:18
T10191,Robotics and Sensor-Based Localization,Unknown,Unknown,32973,2025-11-15 21:06:18
T14214,Space Exploration and Technology,Unknown,Unknown,32483,2025-11-15 21:06:18
T12019,Calibration and Measurement Techniques,Unknown,Unknown,29753,2025-11-15 21:06:18
T10406,Planetary Science and Exploration,Unknown,Unknown,29677,2025-11-15 21:06:18
T11383,Advanced Antenna and Metasurface Technologies,Unknown,Unknown,27747,2025-11-15 21:06:18
T10325,Astro and Planetary Science,Unknown,Unknown,26440,2025-11-15 21:06:18
T11619,Combustion and Detonation Processes,Unknown,Unknown,26069,2025-11-15 21:06:18
T10559,Particle Accelerators and Free-Electron Lasers,Unknown,Unknown,25507,2025-11-15 21:06:18
T12125,Aerospace and Aviation Technology,Unknown,Unknown,23324,2025-11-15 21:06:18
T11701,Space Satellite Systems and Control,Unknown,Unknown,22193,2025-11-15 21:06:18
T12389,Infrared Target Detection Methodologies,Unknown,Unknown,21936,2025-11-15 21:06:18
