id,name,works_count
2505,Materials Chemistry,2584
2208,Electrical and Electronic Engineering,2434
3320,Political Science and International Relations,1977
3304,Education,1624
3107,"Atomic and Molecular Physics, and Optics",1559
2504,"Electronic, Optical and Magnetic Materials",1342
3312,Sociology and Political Science,1325
2002,Economics and Econometrics,1319
1312,Molecular Biology,990
2204,Biomedical Engineering,958
