id,name,works_count
2739,"Public Health, Environmental and Occupational Health",2084
3304,Education,2016
3600,General Health Professions,1922
2713,Epidemiology,1826
3312,Sociology and Political Science,1657
2725,Infectious Diseases,1229
2746,Surgery,1155
1110,Plant Science,1036
2002,Economics and Econometrics,894
1312,Molecular Biology,853
