id,name,field,subfield,us_works_count,fetch_date
T10635,Hydraulic Fracturing and Reservoir Analysis,Unknown,Unknown,58509,2025-11-15 21:06:18
T12169,Non-Destructive Testing Techniques,Unknown,Unknown,31383,2025-11-15 21:06:18
T10998,Heat Transfer and Optimization,Unknown,Unknown,26877,2025-11-15 21:06:18
T10717,Aluminum Alloys Composites Properties,Unknown,Unknown,26859,2025-11-15 21:06:18
T12784,Modular Robots and Swarm Intelligence,Unknown,Unknown,26468,2025-11-15 21:06:18
T10892,Drilling and Well Engineering,Unknown,Unknown,25224,2025-11-15 21:06:18
T12099,Advanced materials and composites,Unknown,Unknown,23364,2025-11-15 21:06:18
T10672,Design Education and Practice,Unknown,Unknown,23246,2025-11-15 21:06:18
T11138,Tribology and Lubrication Engineering,Unknown,Unknown,21896,2025-11-15 21:06:18
T11372,Hydraulic and Pneumatic Systems,Unknown,Unknown,21829,2025-11-15 21:06:18
T11801,Reservoir Engineering and Simulation Methods,Unknown,Unknown,21808,2025-11-15 21:06:18
T11583,Advanced Measurement and Metrology Techniques,Unknown,Unknown,21798,2025-11-15 21:06:18
T10386,Microstructure and Mechanical Properties of Steels,Unknown,Unknown,20337,2025-11-15 21:06:18
T11091,Extraction and Separation Processes,Unknown,Unknown,20195,2025-11-15 21:06:18
T11100,Intermetallics and Advanced Alloy Properties,Unknown,Unknown,20171,2025-11-15 21:06:18
T10700,Metal Forming Simulation Techniques,Unknown,Unknown,19537,2025-11-15 21:06:18
T11737,Advanced Materials and Mechanics,Unknown,Unknown,19525,2025-11-15 21:06:18
T11945,Heat Transfer Mechanisms,Unknown,Unknown,19398,2025-11-15 21:06:18
T10850,Heat Transfer and Boiling Studies,Unknown,Unknown,19006,2025-11-15 21:06:18
T11126,Metallurgical Processes and Thermodynamics,Unknown,Unknown,18103,2025-11-15 21:06:18
