id,name,topics_count,fetch_date
15,Chemical Engineering,13,2025-11-15 21:06:18
16,Chemistry,101,2025-11-15 21:06:18
17,Computer Science,302,2025-11-15 21:06:18
19,Earth and Planetary Sciences,57,2025-11-15 21:06:18
21,Energy,27,2025-11-15 21:06:18
22,Engineering,560,2025-11-15 21:06:18
23,Environmental Science,202,2025-11-15 21:06:18
25,Materials Science,123,2025-11-15 21:06:18
26,Mathematics,82,2025-11-15 21:06:18
31,Physics and Astronomy,104,2025-11-15 21:06:18
