id,name,works_count
3106,Nuclear and High Energy Physics,4414
3107,"Atomic and Molecular Physics, and Optics",4279
2208,Electrical and Electronic Engineering,3007
3103,Astronomy and Astrophysics,2845
1312,Molecular Biology,2815
2505,Materials Chemistry,2220
1605,Organic Chemistry,1948
2204,Biomedical Engineering,1682
3320,Political Science and International Relations,1672
3312,Sociology and Political Science,1353
