id,name,works_count
2303,Ecology,925
3312,Sociology and Political Science,686
3304,Education,646
2725,Infectious Diseases,570
3600,General Health Professions,536
2739,"Public Health, Environmental and Occupational Health",535
2306,Global and Planetary Change,530
1710,Information Systems,527
2002,Economics and Econometrics,525
1110,Plant Science,515
