id,name,works_count
3304,Education,17790
3312,Sociology and Political Science,16376
2002,Economics and Econometrics,14992
3600,General Health Professions,14898
2739,"Public Health, Environmental and Occupational Health",11783
3320,Political Science and International Relations,11036
1710,Information Systems,9317
3308,Law,7903
3207,Social Psychology,7331
1106,Food Science,7185
